С АСД в виде региона
1 4.76343375e-07
2 9.546995800000003e-08
3 1.0507716600000005e-07
4 1.16066208e-07
5 1.2885491700000007e-07
6 1.8292733300000008e-07
7 1.950225419999998e-07
8 2.0596370799999984e-07
9 2.1623291600000002e-07
10 2.313533340000002e-07
11 2.413152920000001e-07
12 2.4604325000000003e-07
13 2.5724245800000033e-07
14 2.698746249999999e-07
15 2.3564037500000002e-07
16 2.8961141599999964e-07
17 3.034831250000001e-07
18 3.124690829999999e-07
19 3.210244160000002e-07
20 3.293862499999994e-07
21 3.4114204099999946e-07
22 3.527278339999995e-07
23 3.666309999999999e-07
24 3.735600830000001e-07
25 3.394157500000006e-07
26 3.946151249999996e-07
27 4.063441250000004e-07
28 4.180835420000006e-07
29 4.255469159999992e-07
30 4.3104841699999996e-07
31 4.46344916000001e-07
32 4.5727495799999926e-07
33 4.694788340000002e-07
34 4.792950830000003e-07
35 4.6294487499999983e-07
36 5.156443749999991e-07
37 5.244630839999989e-07
38 5.386015000000004e-07
39 5.482704999999992e-07
40 5.578166249999992e-07
41 5.67655499999999e-07
42 8.198925830000014e-07
43 8.378209999999999e-07
44 8.496429170000007e-07
45 8.289400000000029e-07
46 8.900059999999996e-07
47 9.023957920000001e-07
48 9.255411669999986e-07
49 9.436147079999984e-07
50 9.593939170000006e-07
51 9.71184000000001e-07
52 9.860355839999997e-07
53 1.0057255420000005e-06
54 1.002142291000002e-06
55 1.0207212499999975e-06
56 1.0202672910000032e-06
57 1.0405045840000008e-06
58 1.045005875000001e-06
59 1.0543788750000012e-06
60 1.0656564579999994e-06
61 1.080935416999999e-06
62 1.084731082999994e-06
63 1.0908061670000038e-06
64 1.1121717500000016e-06
65 1.12517725e-06
66 1.1334923330000066e-06
67 1.1400555840000025e-06
68 1.1629778749999958e-06
69 1.1711267920000026e-06
70 1.1903011659999975e-06
71 1.1767427089999955e-06
72 1.1917675839999974e-06
73 1.1999521669999993e-06
74 1.2178593340000035e-06
75 1.1833590419999992e-06
76 1.2357582080000001e-06
77 1.248918291999999e-06
78 1.2575335420000044e-06
79 1.2703097090000029e-06
80 1.2869541250000011e-06
81 1.2933753750000037e-06
82 1.3121124580000015e-06
83 1.3179067499999988e-06
84 1.3315696250000001e-06
85 1.2931748750000055e-06
86 1.3524179160000004e-06
87 1.3474158749999959e-06
88 1.3579766249999921e-06
89 1.3756531669999958e-06
90 1.336659209000004e-06
91 1.3977235840000048e-06
92 1.637164249999998e-06
93 1.6681587499999892e-06
94 1.6733577080000117e-06
95 1.666362458000009e-06
96 1.7153765420000014e-06
97 1.725706791999997e-06
98 1.7573039999999907e-06
99 1.7723377909999982e-06
100 1.7450941249999943e-06
